Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
PRTO,Proteon Therapeutics Inc.,1.35,$23.79M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/prto
PTI,Proteostasis Therapeutics Inc.,2.1,$52.71M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/pti
PRTA,Prothena Corporation plc,60.76,$2.33B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/prta
PVBC,Provident Bancorp Inc.,21.05,$202.78M,2015,Finance,Savings Institutions,http://www.nasdaq.com/symbol/pvbc
PROV,Provident Financial Holdings Inc.,19.06,$146.68M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/prov
PBIP,Prudential Bancorp Inc.,18.33,$165.11M,n/a,Finance,Banks,http://www.nasdaq.com/symbol/pbip
PSDV,pSivida Corp.,1.3,$51.16M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/psdv
PMD,Psychemedics Corporation,19.26,$105.77M,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/pmd
PTC,PTC Inc.,55.61,$6.43B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ptc
PTCT,PTC Therapeutics Inc.,20.77,$859.65M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ptct
PULM,Pulmatrix Inc.,2.03,$40.85M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/pulm
PLSE,Pulse Biosciences Inc,20.01,$286.82M,2016,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/plse
PBYI,Puma Biotechnology Inc,107.4,$4B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/pbyi
PCYO,Pure Cycle Corporation,7,$166.28M,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/pcyo
PXS,Pyxis Tankers Inc.,1.95,$35.64M,n/a,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/pxs
QADA,QAD Inc.,33.25,$632.73M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/qada
QADB,QAD Inc.,26,$494.77M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/qadb
QCRH,QCR Holdings Inc.,41.5,$547.02M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/qcrh
QGEN,Qiagen N.V.,32.17,$7.34B,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/qgen
